<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
04.10.2018;10:13:00;117180.0000000;117330.0000000;117180.0000000;117310.0000000
04.10.2018;10:14:00;117300.0000000;117320.0000000;117220.0000000;117280.0000000
04.10.2018;10:15:00;117280.0000000;117300.0000000;117200.0000000;117300.0000000
04.10.2018;10:16:00;117300.0000000;117320.0000000;117220.0000000;117280.0000000
04.10.2018;10:17:00;117260.0000000;117300.0000000;117210.0000000;117300.0000000
04.10.2018;10:18:00;117300.0000000;117320.0000000;117250.0000000;117250.0000000
04.10.2018;10:19:00;117250.0000000;117290.0000000;117190.0000000;117210.0000000
04.10.2018;10:20:00;117230.0000000;117310.0000000;117200.0000000;117300.0000000
04.10.2018;10:21:00;117300.0000000;117310.0000000;117240.0000000;117310.0000000
04.10.2018;10:22:00;117310.0000000;117440.0000000;117300.0000000;117350.0000000
04.10.2018;10:23:00;117370.0000000;117600.0000000;117370.0000000;117510.0000000
04.10.2018;10:24:00;117500.0000000;117600.0000000;117500.0000000;117550.0000000
04.10.2018;10:25:00;117550.0000000;117680.0000000;117540.0000000;117580.0000000
04.10.2018;10:26:00;117580.0000000;117590.0000000;117470.0000000;117500.0000000
04.10.2018;10:27:00;117480.0000000;117540.0000000;117460.0000000;117460.0000000
04.10.2018;10:28:00;117480.0000000;117480.0000000;117350.0000000;117420.0000000
04.10.2018;10:29:00;117410.0000000;117490.0000000;117380.0000000;117430.0000000
04.10.2018;10:30:00;117420.0000000;117450.0000000;117320.0000000;117380.0000000
04.10.2018;10:31:00;117400.0000000;117400.0000000;117270.0000000;117310.0000000
04.10.2018;10:32:00;117300.0000000;117310.0000000;117170.0000000;117270.0000000
04.10.2018;10:33:00;117270.0000000;117360.0000000;117240.0000000;117310.0000000
04.10.2018;10:34:00;117300.0000000;117360.0000000;117290.0000000;117330.0000000
04.10.2018;10:35:00;117310.0000000;117400.0000000;117310.0000000;117360.0000000
04.10.2018;10:36:00;117350.0000000;117430.0000000;117350.0000000;117380.0000000
04.10.2018;10:37:00;117390.0000000;117420.0000000;117350.0000000;117400.0000000
04.10.2018;10:38:00;117400.0000000;117580.0000000;117400.0000000;117530.0000000
04.10.2018;10:39:00;117520.0000000;117570.0000000;117470.0000000;117560.0000000
04.10.2018;10:40:00;117550.0000000;117590.0000000;117500.0000000;117590.0000000
04.10.2018;10:41:00;117590.0000000;117590.0000000;117450.0000000;117500.0000000
04.10.2018;10:42:00;117510.0000000;117670.0000000;117490.0000000;117600.0000000
04.10.2018;10:43:00;117590.0000000;117610.0000000;117550.0000000;117600.0000000
04.10.2018;10:44:00;117600.0000000;117790.0000000;117590.0000000;117790.0000000
04.10.2018;10:45:00;117790.0000000;117960.0000000;117780.0000000;117870.0000000
04.10.2018;10:46:00;117880.0000000;117930.0000000;117800.0000000;117810.0000000
04.10.2018;10:47:00;117800.0000000;117870.0000000;117780.0000000;117870.0000000
04.10.2018;10:48:00;117880.0000000;117970.0000000;117870.0000000;117900.0000000
04.10.2018;10:49:00;117900.0000000;117950.0000000;117850.0000000;117850.0000000
04.10.2018;10:50:00;117860.0000000;117950.0000000;117850.0000000;117900.0000000
04.10.2018;10:51:00;117900.0000000;117910.0000000;117810.0000000;117880.0000000
04.10.2018;10:52:00;117880.0000000;117910.0000000;117830.0000000;117870.0000000
04.10.2018;10:53:00;117870.0000000;117890.0000000;117730.0000000;117760.0000000
04.10.2018;10:54:00;117740.0000000;117810.0000000;117680.0000000;117730.0000000
04.10.2018;10:55:00;117730.0000000;117790.0000000;117720.0000000;117740.0000000
04.10.2018;10:56:00;117740.0000000;117790.0000000;117720.0000000;117780.0000000
04.10.2018;10:57:00;117770.0000000;117780.0000000;117730.0000000;117740.0000000
04.10.2018;10:58:00;117740.0000000;117800.0000000;117740.0000000;117800.0000000
04.10.2018;10:59:00;117790.0000000;117800.0000000;117630.0000000;117720.0000000
04.10.2018;11:00:00;117730.0000000;117780.0000000;117640.0000000;117660.0000000
04.10.2018;11:01:00;117660.0000000;117680.0000000;117580.0000000;117620.0000000
